i	E(i)	g[i]	hist[i]
734	1340.000000	-10236723.806249	1
735	1342.000000	-10236720.806249	4
736	1344.000000	-10236717.806250	7
737	1346.000000	-10236719.806250	5
738	1348.000000	-10236715.806250	9
739	1350.000000	-10236723.806249	1
740	1352.000000	-10236720.806249	4
741	1354.000000	-10236721.806249	3
742	1356.000000	-10236723.806249	1
743	1358.000000	-10236723.806249	1
744	1360.000000	-10236719.806250	5
745	1362.000000	-10236721.806249	3
746	1364.000000	-10236722.806249	2
747	1366.000000	-10236723.806249	1
748	1368.000000	-10236720.806249	4
749	1370.000000	-10236717.806250	7
750	1372.000000	-10236718.806250	6
751	1374.000000	-10236720.806249	4
752	1376.000000	-10236717.806250	7
753	1378.000000	-10236720.806249	4
754	1380.000000	-10236722.806249	2
755	1382.000000	-10236723.806249	1
756	1384.000000	-10236722.806249	2
757	1386.000000	-10236723.806249	1
758	1388.000000	-10236722.806249	2
759	1390.000000	-10236721.806249	3
760	1392.000000	-10236721.806249	3
761	1394.000000	-10236721.806249	3
762	1396.000000	-10236720.806249	4
763	1398.000000	-10236719.806250	5
764	1400.000000	-10236718.806250	6
765	1402.000000	-10236723.806249	1
766	1404.000000	-10236721.806249	3
767	1406.000000	-10236721.806249	3
768	1408.000000	-10236723.806249	1
769	1410.000000	-10236722.806249	2
770	1412.000000	-10236722.806249	2
771	1414.000000	-10236720.806249	4
772	1416.000000	-10236716.806250	8
773	1418.000000	-10236722.806249	2
774	1420.000000	-10236720.806249	4
775	1422.000000	-10236722.806249	2
776	1424.000000	-10236722.806249	2
777	1426.000000	-10236722.806249	2
778	1428.000000	-10236721.806249	3
779	1430.000000	-10236722.806249	2
780	1432.000000	-10236722.806249	2
781	1434.000000	-10236721.806249	3
782	1436.000000	-10236721.806249	3
783	1438.000000	-10236722.806249	2
784	1440.000000	-10236723.806249	1
785	1442.000000	-10236722.806249	2
786	1444.000000	-10236723.806249	1
787	1446.000000	-10236723.806249	1
788	1448.000000	-10236723.806249	1
789	1450.000000	-10236722.806249	2
790	1452.000000	-10236723.806249	1
791	1454.000000	-10236720.806249	4
792	1456.000000	-10236722.806249	2
793	1458.000000	-10236723.806249	1
794	1460.000000	-10236722.806249	2
795	1462.000000	-10236722.806249	2
796	1464.000000	-10236722.806249	2
797	1466.000000	-10236722.806249	2
798	1468.000000	-10236723.806249	1
799	1470.000000	-10236723.806249	1
800	1472.000000	-10236721.806249	3
